时间,类型,舰种,船只
2017/02/21 03:22:28,解体,重巡洋艦,摩耶(Lv.1)
2017/02/20 19:54:56,解体,戦艦,霧島(Lv.1)
2017/02/20 19:54:03,解体,駆逐艦,初霜(Lv.1)
2017/02/20 19:53:59,解体,駆逐艦,時雨(Lv.1)
2017/02/20 19:53:43,解体,駆逐艦,暁(Lv.1)
2017/02/20 19:53:33,解体,重巡洋艦,愛宕(Lv.1)
2017/02/20 19:53:29,解体,軽巡洋艦,多摩(Lv.1)
2017/02/20 19:53:24,解体,駆逐艦,大潮(Lv.1)
2017/02/20 19:26:31,解体,戦艦,霧島(Lv.1)
2017/02/20 19:26:23,解体,駆逐艦,文月(Lv.1)
2017/02/20 19:26:19,解体,駆逐艦,黒潮(Lv.1)
2017/02/20 19:26:13,解体,駆逐艦,雷(Lv.1)
2017/02/20 19:26:07,解体,駆逐艦,霰(Lv.1)
2017/02/20 19:26:03,解体,駆逐艦,子日(Lv.1)
2017/02/20 19:25:54,解体,軽巡洋艦,神通(Lv.1)
2017/02/20 19:25:48,解体,駆逐艦,涼風(Lv.1)
2017/02/20 19:13:56,解体,重巡洋艦,最上(Lv.1)
2017/02/20 19:13:51,解体,駆逐艦,望月(Lv.1)
2017/02/20 19:13:46,解体,駆逐艦,村雨(Lv.1)
2017/02/20 19:13:42,解体,駆逐艦,初霜(Lv.1)
2017/02/20 19:13:38,解体,軽巡洋艦,名取(Lv.1)
2017/02/20 19:13:33,解体,重巡洋艦,愛宕(Lv.1)
2017/02/20 19:01:59,解体,駆逐艦,霞(Lv.1)
2017/02/20 18:59:22,解体,駆逐艦,夕立(Lv.2)
2017/02/20 18:54:38,解体,駆逐艦,潮(Lv.1)
2017/02/20 18:52:24,解体,駆逐艦,白雪(Lv.2)
2017/02/20 18:48:30,解体,駆逐艦,深雪(Lv.2)
2017/02/20 18:44:15,解体,駆逐艦,子日(Lv.2)
2017/02/20 18:39:04,解体,駆逐艦,菊月(Lv.1)
2017/02/20 18:33:26,解体,駆逐艦,睦月(Lv.1)
2017/02/20 18:30:29,解体,駆逐艦,夕立(Lv.1)
2017/02/20 18:21:46,改修,重巡洋艦,最上(Lv.1)
2017/02/20 18:21:37,改修,重巡洋艦,鳥海(Lv.1)
2017/02/20 18:14:27,解体,駆逐艦,磯波(Lv.2)
2017/02/19 04:12:29,改修,重巡洋艦,足柄(Lv.1)
2017/02/19 04:12:06,改修,重巡洋艦,高雄(Lv.1)
2017/02/19 04:11:57,改修,駆逐艦,荒潮(Lv.1)
2017/02/19 04:11:57,改修,駆逐艦,荒潮(Lv.1)
2017/02/19 02:58:32,解体,駆逐艦,満潮(Lv.2)
2017/02/19 02:42:58,解体,駆逐艦,不知火(Lv.1)
2017/02/18 21:46:50,解体,駆逐艦,時雨(Lv.1)
2017/02/18 21:46:41,解体,駆逐艦,望月(Lv.1)
2017/02/18 21:46:31,解体,軽巡洋艦,名取(Lv.1)
2017/02/18 21:46:25,解体,駆逐艦,初雪(Lv.1)
2017/02/18 21:45:59,解体,駆逐艦,深雪(Lv.1)
2017/02/18 21:45:54,解体,駆逐艦,霞(Lv.1)
2017/02/18 21:45:50,解体,駆逐艦,叢雲(Lv.1)
2017/02/18 21:45:45,解体,軽巡洋艦,神通(Lv.1)
2017/02/18 21:45:39,解体,駆逐艦,如月(Lv.1)
2017/02/18 19:39:11,解体,駆逐艦,文月(Lv.1)
2017/02/18 19:32:49,解体,駆逐艦,敷波(Lv.2)
2017/02/18 16:03:01,解体,駆逐艦,子日(Lv.1)
2017/02/18 15:59:26,解体,駆逐艦,電(Lv.2)
2017/02/18 15:53:51,解体,駆逐艦,初霜(Lv.2)
2017/02/18 15:48:43,解体,駆逐艦,満潮(Lv.2)
2017/02/18 15:43:06,解体,駆逐艦,初霜(Lv.1)
2017/02/18 15:40:03,解体,駆逐艦,響(Lv.1)
2017/02/18 15:37:29,解体,駆逐艦,雷(Lv.2)
2017/02/18 15:12:29,解体,駆逐艦,村雨(Lv.1)
2017/02/18 15:09:40,解体,駆逐艦,時雨(Lv.2)
2017/02/18 15:01:30,解体,駆逐艦,白雪(Lv.1)
2017/02/18 14:58:42,解体,駆逐艦,満潮(Lv.2)
2017/02/18 14:48:36,解体,駆逐艦,皐月(Lv.1)
2017/02/18 14:44:47,解体,駆逐艦,深雪(Lv.2)
2017/02/18 13:33:02,解体,駆逐艦,吹雪(Lv.1)
2017/02/18 13:32:57,解体,駆逐艦,漣(Lv.1)
2017/02/18 13:32:51,解体,駆逐艦,海風(Lv.1)
2017/02/18 13:32:09,解体,駆逐艦,如月(Lv.1)
2017/02/18 07:16:47,解体,駆逐艦,三日月(Lv.1)
2017/02/18 07:16:41,解体,駆逐艦,潮(Lv.1)
2017/02/18 07:16:29,解体,駆逐艦,深雪(Lv.1)
2017/02/18 07:16:08,解体,駆逐艦,潮(Lv.1)
2017/02/18 07:16:02,解体,駆逐艦,磯波(Lv.1)
2017/02/18 07:15:57,解体,駆逐艦,大潮(Lv.1)
2017/02/18 07:15:52,解体,軽巡洋艦,天龍(Lv.1)
2017/02/18 07:15:46,解体,駆逐艦,若葉(Lv.1)
2017/02/18 07:11:28,解体,駆逐艦,初霜(Lv.1)
2017/02/18 07:08:05,解体,駆逐艦,潮(Lv.1)
2017/02/18 07:03:34,解体,駆逐艦,五月雨(Lv.2)
2017/02/18 06:55:26,解体,駆逐艦,初春(Lv.1)
2017/02/18 06:52:36,解体,駆逐艦,響(Lv.1)
2017/02/18 06:46:33,解体,駆逐艦,深雪(Lv.2)
2017/02/18 06:37:24,解体,駆逐艦,時雨(Lv.2)
2017/02/18 06:27:12,解体,駆逐艦,朧(Lv.2)
2017/02/18 06:14:28,解体,駆逐艦,白雪(Lv.1)
2017/02/18 06:04:05,解体,駆逐艦,初春(Lv.1)
2017/02/18 06:03:60,解体,駆逐艦,響(Lv.1)
2017/02/18 06:03:55,解体,駆逐艦,敷波(Lv.1)
2017/02/18 06:03:50,解体,駆逐艦,五月雨(Lv.1)
2017/02/18 06:03:43,解体,駆逐艦,時雨(Lv.1)
2017/02/18 06:03:36,解体,駆逐艦,敷波(Lv.1)
2017/02/18 06:01:23,解体,軽巡洋艦,那珂(Lv.1)
2017/02/18 06:01:18,解体,軽巡洋艦,由良(Lv.1)
2017/02/18 06:01:13,解体,軽巡洋艦,由良(Lv.1)
2017/02/18 05:57:55,解体,駆逐艦,敷波(Lv.2)
2017/02/18 05:43:56,解体,駆逐艦,時雨(Lv.2)
2017/02/18 05:36:35,解体,駆逐艦,五月雨(Lv.2)
2017/02/18 05:27:24,解体,駆逐艦,満潮(Lv.2)
2017/02/18 05:15:59,解体,駆逐艦,潮(Lv.2)
2017/02/18 05:05:46,解体,駆逐艦,子日(Lv.1)
2017/02/18 05:01:36,解体,駆逐艦,皐月(Lv.2)
2017/02/18 04:53:29,解体,駆逐艦,潮(Lv.2)
2017/02/18 04:45:37,解体,駆逐艦,時雨(Lv.1)
2017/02/18 04:41:44,解体,駆逐艦,深雪(Lv.2)
2017/02/18 04:26:15,解体,駆逐艦,若葉(Lv.1)
2017/02/18 04:26:06,解体,駆逐艦,霞(Lv.1)
2017/02/18 04:25:60,解体,駆逐艦,高波(Lv.1)
2017/02/18 04:25:47,解体,軽巡洋艦,神通(Lv.1)
2017/02/18 04:25:43,解体,駆逐艦,霰(Lv.1)
2017/02/18 04:25:19,解体,駆逐艦,綾波(Lv.1)
2017/02/18 04:25:13,解体,駆逐艦,深雪(Lv.1)
2017/02/18 04:25:08,解体,駆逐艦,三日月(Lv.1)
2017/02/18 04:25:03,解体,駆逐艦,磯波(Lv.1)
2017/02/18 04:24:55,解体,駆逐艦,電(Lv.1)
2017/02/18 04:24:51,解体,駆逐艦,初春(Lv.1)
2017/02/18 04:24:47,解体,駆逐艦,朧(Lv.1)
2017/02/18 04:24:41,解体,駆逐艦,文月(Lv.1)
2017/02/18 04:24:37,解体,駆逐艦,子日(Lv.1)
2017/02/18 04:23:43,解体,駆逐艦,磯波(Lv.2)
2017/02/18 04:19:24,解体,駆逐艦,皐月(Lv.1)
2017/02/18 04:18:51,解体,駆逐艦,深雪(Lv.1)
2017/02/18 04:18:43,解体,駆逐艦,白雪(Lv.1)
2017/02/18 04:17:54,解体,駆逐艦,磯波(Lv.1)
2017/02/18 04:17:48,解体,駆逐艦,望月(Lv.1)
2017/02/18 04:17:41,解体,駆逐艦,霞(Lv.1)
2017/02/18 04:17:37,解体,駆逐艦,子日(Lv.1)
2017/02/18 03:55:57,解体,駆逐艦,五月雨(Lv.2)
2017/02/18 03:49:26,解体,駆逐艦,満潮(Lv.1)
2017/02/18 03:45:48,解体,駆逐艦,初雪(Lv.1)
2017/02/18 03:40:06,解体,駆逐艦,白雪(Lv.2)
2017/02/18 03:29:35,解体,駆逐艦,満潮(Lv.2)
2017/02/18 03:19:50,解体,駆逐艦,文月(Lv.1)
2017/02/18 03:19:46,解体,駆逐艦,電(Lv.1)
2017/02/18 03:19:42,解体,駆逐艦,初雪(Lv.1)
2017/02/18 03:12:59,解体,駆逐艦,望月(Lv.2)
2017/02/18 03:04:45,解体,駆逐艦,雷(Lv.2)
2017/02/18 02:59:44,解体,駆逐艦,時雨(Lv.1)
2017/02/18 02:55:47,解体,駆逐艦,敷波(Lv.1)
2017/02/18 02:51:16,解体,駆逐艦,初霜(Lv.2)
2017/02/18 02:43:49,解体,駆逐艦,潮(Lv.1)
2017/02/18 02:41:29,解体,駆逐艦,荒潮(Lv.1)
2017/02/18 02:36:21,解体,駆逐艦,村雨(Lv.2)
2017/02/17 24:13:23,解体,駆逐艦,荒潮(Lv.1)
2017/02/17 24:13:17,解体,重巡洋艦,最上(Lv.1)
2017/02/17 24:13:11,解体,駆逐艦,霰(Lv.1)
2017/02/17 24:13:02,解体,駆逐艦,若葉(Lv.1)
2017/02/17 24:12:58,解体,駆逐艦,島風(Lv.1)
2017/02/17 23:26:09,解体,駆逐艦,響(Lv.1)
2017/02/17 23:26:05,解体,駆逐艦,雷(Lv.1)
2017/02/17 23:26:01,解体,駆逐艦,夕立(Lv.1)
2017/02/17 23:25:57,解体,戦艦,日向(Lv.1)
2017/02/17 23:25:53,解体,駆逐艦,雷(Lv.1)
2017/02/17 23:25:49,解体,駆逐艦,漣(Lv.1)
2017/02/17 23:25:44,解体,戦艦,山城(Lv.1)
2017/02/17 22:52:04,改修,重巡洋艦,足柄(Lv.1)
2017/02/17 22:52:04,改修,重巡洋艦,利根(Lv.1)
2017/02/17 22:52:04,改修,駆逐艦,初春(Lv.1)
2017/02/17 22:52:04,改修,駆逐艦,初風(Lv.1)
2017/02/17 22:52:04,改修,駆逐艦,高波(Lv.1)
2017/02/17 22:51:24,改修,駆逐艦,深雪(Lv.1)
2017/02/17 22:51:24,改修,駆逐艦,菊月(Lv.1)
2017/02/17 22:51:24,改修,駆逐艦,望月(Lv.1)
2017/02/17 22:51:24,改修,駆逐艦,三日月(Lv.1)
2017/02/17 22:51:24,改修,駆逐艦,白雪(Lv.1)
2017/02/17 22:51:08,改修,駆逐艦,雷(Lv.1)
2017/02/17 22:51:08,改修,駆逐艦,夕立(Lv.1)
2017/02/17 22:51:08,改修,駆逐艦,五月雨(Lv.1)
2017/02/17 22:51:08,改修,駆逐艦,若葉(Lv.1)
2017/02/17 22:51:08,改修,駆逐艦,五月雨(Lv.1)
2017/02/17 22:25:11,解体,駆逐艦,三日月(Lv.2)
2017/02/17 02:19:06,解体,軽巡洋艦,球磨(Lv.1)
2017/02/17 02:19:02,解体,軽巡洋艦,多摩(Lv.1)
2017/02/17 02:18:57,解体,駆逐艦,三日月(Lv.1)
2017/02/17 01:19:33,解体,駆逐艦,時雨(Lv.2)
2017/02/17 01:14:24,解体,駆逐艦,朧(Lv.1)
2017/02/17 01:10:60,解体,駆逐艦,五月雨(Lv.2)
2017/02/17 01:06:28,解体,駆逐艦,荒潮(Lv.2)
2017/02/16 24:60:10,解体,駆逐艦,白雪(Lv.1)
2017/02/16 24:56:47,解体,駆逐艦,響(Lv.2)
2017/02/16 24:49:40,解体,駆逐艦,文月(Lv.2)
2017/02/16 24:45:18,解体,駆逐艦,磯波(Lv.2)
2017/02/16 24:40:23,解体,駆逐艦,子日(Lv.1)
2017/02/16 24:35:20,解体,駆逐艦,雷(Lv.1)
2017/02/16 24:35:15,解体,駆逐艦,望月(Lv.1)
2017/02/16 24:35:06,解体,駆逐艦,響(Lv.1)
2017/02/16 24:35:02,解体,駆逐艦,白雪(Lv.1)
2017/02/16 24:34:56,解体,駆逐艦,初春(Lv.1)
2017/02/16 24:34:50,解体,駆逐艦,初春(Lv.1)
2017/02/16 24:34:46,解体,駆逐艦,時雨(Lv.1)
2017/02/16 24:34:40,解体,駆逐艦,若葉(Lv.1)
2017/02/16 24:34:36,解体,駆逐艦,深雪(Lv.1)
2017/02/16 24:34:31,解体,駆逐艦,雷(Lv.1)
2017/02/16 24:33:37,解体,駆逐艦,満潮(Lv.2)
2017/02/16 23:57:13,解体,駆逐艦,磯波(Lv.2)
2017/02/16 23:52:21,解体,駆逐艦,如月(Lv.1)
2017/02/16 23:49:44,解体,駆逐艦,三日月(Lv.2)
2017/02/16 23:44:37,解体,駆逐艦,涼風(Lv.2)
2017/02/16 23:40:16,解体,軽巡洋艦,神通(Lv.1)
2017/02/16 23:40:01,解体,駆逐艦,大潮(Lv.1)
2017/02/16 23:27:08,解体,正規空母,蒼龍(Lv.1)
2017/02/16 23:27:01,解体,駆逐艦,霰(Lv.1)
2017/02/16 23:26:51,解体,駆逐艦,暁(Lv.1)
2017/02/16 23:16:59,解体,駆逐艦,響(Lv.1)
2017/02/16 23:16:54,解体,軽巡洋艦,由良(Lv.1)
2017/02/16 22:59:36,解体,駆逐艦,雷(Lv.1)
2017/02/16 22:59:27,解体,軽巡洋艦,那珂(Lv.1)
2017/02/16 22:59:17,解体,戦艦,日向(Lv.1)
2017/02/16 22:59:12,解体,軽巡洋艦,由良(Lv.1)
2017/02/16 22:35:07,解体,駆逐艦,電(Lv.1)
2017/02/16 22:35:02,解体,重巡洋艦,那智(Lv.1)
2017/02/16 22:34:58,解体,駆逐艦,荒潮(Lv.1)
2017/02/16 22:34:54,解体,戦艦,日向(Lv.1)
2017/02/16 22:08:59,解体,軽空母,龍驤(Lv.1)
2017/02/16 22:08:54,解体,戦艦,金剛(Lv.1)
2017/02/16 22:08:50,解体,駆逐艦,浦風(Lv.1)
2017/02/16 21:55:41,解体,戦艦,霧島(Lv.1)
2017/02/16 21:55:16,解体,駆逐艦,暁(Lv.1)
2017/02/16 21:55:09,解体,軽巡洋艦,那珂(Lv.1)
2017/02/16 21:44:60,改修,戦艦,陸奥(Lv.1)
2017/02/16 21:34:45,解体,駆逐艦,漣(Lv.1)
2017/02/16 21:34:40,解体,駆逐艦,村雨(Lv.1)
2017/02/16 21:34:36,解体,重巡洋艦,足柄(Lv.1)
2017/02/16 21:17:34,解体,駆逐艦,潮(Lv.1)
2017/02/16 21:17:27,解体,駆逐艦,雷(Lv.1)
2017/02/16 21:17:19,解体,駆逐艦,舞風(Lv.1)
2017/02/16 16:58:36,改修,戦艦,陸奥(Lv.1)
2017/02/16 16:57:55,解体,駆逐艦,霰(Lv.1)
2017/02/16 16:57:51,解体,駆逐艦,朝雲(Lv.1)
2017/02/16 16:57:47,解体,駆逐艦,響(Lv.1)
2017/02/16 16:37:24,解体,軽空母,龍驤(Lv.1)
2017/02/16 16:37:19,解体,正規空母,蒼龍(Lv.1)
2017/02/16 16:37:15,解体,戦艦,山城(Lv.1)
2017/02/16 16:37:11,解体,重巡洋艦,筑摩(Lv.1)
2017/02/16 16:26:46,解体,駆逐艦,時雨(Lv.1)
2017/02/16 16:26:42,解体,重巡洋艦,高雄(Lv.1)
2017/02/16 16:26:37,解体,駆逐艦,霞(Lv.1)
2017/02/16 15:52:35,解体,駆逐艦,時津風(Lv.1)
2017/02/16 15:52:30,解体,駆逐艦,荒潮(Lv.1)
2017/02/16 15:52:26,解体,軽空母,龍驤(Lv.1)
2017/02/16 15:52:22,解体,重巡洋艦,足柄(Lv.1)
2017/02/16 15:52:16,解体,戦艦,霧島(Lv.1)
2017/02/16 15:52:12,解体,戦艦,扶桑(Lv.1)
2017/02/16 13:60:11,解体,駆逐艦,五月雨(Lv.1)
2017/02/16 13:59:49,解体,軽巡洋艦,神通(Lv.1)
2017/02/16 03:30:33,解体,駆逐艦,深雪(Lv.1)
2017/02/16 03:29:13,改修,軽巡洋艦,那珂(Lv.1)
2017/02/16 03:29:13,改修,駆逐艦,初春(Lv.1)
2017/02/16 03:29:13,改修,駆逐艦,夕立(Lv.1)
2017/02/16 03:29:03,改修,駆逐艦,初雪(Lv.1)
2017/02/16 03:29:03,改修,駆逐艦,初雪(Lv.1)
2017/02/16 03:29:03,改修,駆逐艦,磯波(Lv.1)
2017/02/16 03:29:03,改修,駆逐艦,長月(Lv.1)
2017/02/16 03:29:03,改修,駆逐艦,如月(Lv.1)
2017/02/16 03:28:50,改修,駆逐艦,敷波(Lv.1)
2017/02/16 03:28:50,改修,駆逐艦,雷(Lv.1)
2017/02/16 03:28:50,改修,駆逐艦,朧(Lv.1)
2017/02/16 03:28:50,改修,駆逐艦,響(Lv.1)
2017/02/16 03:28:50,改修,駆逐艦,響(Lv.1)
2017/02/16 03:28:38,改修,駆逐艦,霞(Lv.1)
2017/02/16 03:28:38,改修,駆逐艦,霞(Lv.1)
2017/02/16 03:28:29,改修,駆逐艦,時雨(Lv.1)
2017/02/16 03:28:29,改修,駆逐艦,夕立(Lv.1)
2017/02/16 03:24:35,解体,駆逐艦,若葉(Lv.2)
2017/02/16 01:03:18,解体,駆逐艦,子日(Lv.2)
2017/02/15 24:52:21,解体,駆逐艦,望月(Lv.2)
2017/02/15 24:32:03,解体,駆逐艦,潮(Lv.2)
2017/02/15 24:26:40,解体,駆逐艦,三日月(Lv.2)
2017/02/15 24:21:48,解体,駆逐艦,不知火(Lv.1)
2017/02/15 24:15:52,解体,軽巡洋艦,長良(Lv.1)
2017/02/15 24:15:48,解体,軽空母,飛鷹(Lv.1)
2017/02/15 04:14:09,解体,軽巡洋艦,那珂(Lv.1)
2017/02/15 04:14:05,解体,駆逐艦,陽炎(Lv.1)
2017/02/15 04:14:01,解体,重巡洋艦,愛宕(Lv.1)
2017/02/15 03:55:52,解体,駆逐艦,子日(Lv.1)
2017/02/15 03:55:45,解体,駆逐艦,敷波(Lv.1)
2017/02/15 03:55:38,解体,駆逐艦,初雪(Lv.1)
2017/02/15 03:55:32,解体,駆逐艦,夕立(Lv.1)
2017/02/15 03:55:25,解体,駆逐艦,電(Lv.1)
2017/02/15 03:55:19,解体,駆逐艦,白雪(Lv.1)
2017/02/15 03:55:14,解体,駆逐艦,睦月(Lv.1)
2017/02/15 03:55:10,解体,駆逐艦,雷(Lv.1)
2017/02/15 03:55:05,解体,駆逐艦,敷波(Lv.1)
2017/02/15 03:52:38,解体,駆逐艦,荒潮(Lv.2)
2017/02/15 03:48:02,解体,駆逐艦,皐月(Lv.1)
2017/02/15 03:45:20,解体,駆逐艦,敷波(Lv.1)
2017/02/15 03:42:49,解体,駆逐艦,白露(Lv.1)
2017/02/15 03:38:37,解体,駆逐艦,深雪(Lv.2)
2017/02/15 03:22:57,解体,駆逐艦,荒潮(Lv.2)
2017/02/15 03:15:44,解体,駆逐艦,暁(Lv.2)
2017/02/15 03:07:57,解体,駆逐艦,初霜(Lv.2)
2017/02/15 03:02:19,解体,駆逐艦,満潮(Lv.2)
2017/02/15 02:53:39,解体,駆逐艦,初霜(Lv.2)
2017/02/15 02:43:35,改修,重巡洋艦,筑摩(Lv.1)
2017/02/15 02:43:35,改修,軽巡洋艦,川内(Lv.1)
2017/02/15 02:28:05,改修,重巡洋艦,筑摩(Lv.1)
2017/02/15 02:28:05,改修,軽巡洋艦,那珂(Lv.1)
2017/02/15 02:27:48,解体,駆逐艦,黒潮(Lv.1)
2017/02/15 01:60:07,改修,重雷装巡洋艦,北上改二(Lv.51)
2017/02/15 01:52:11,解体,軽巡洋艦,神通(Lv.1)
2017/02/15 01:52:07,解体,軽巡洋艦,多摩(Lv.1)
2017/02/14 24:48:50,改修,駆逐艦,綾波(Lv.1)
2017/02/14 24:48:42,改修,駆逐艦,響(Lv.1)
2017/02/14 24:48:42,改修,駆逐艦,綾波(Lv.1)
2017/02/14 24:48:32,改修,駆逐艦,霞(Lv.1)
2017/02/14 24:48:32,改修,駆逐艦,深雪(Lv.1)
2017/02/14 24:48:22,改修,駆逐艦,磯波(Lv.1)
2017/02/14 24:48:22,改修,軽巡洋艦,天龍(Lv.1)
2017/02/14 24:48:12,改修,駆逐艦,満潮(Lv.1)
2017/02/14 24:48:12,改修,駆逐艦,満潮(Lv.1)
2017/02/14 24:48:02,改修,駆逐艦,満潮(Lv.1)
