时间,海域,地图点,状态,战况,敌舰队,捞！,大破舰,旗舰,旗舰 (第二舰队),MVP,MVP (第二舰队)
2017/03/11 01:07:28,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,无,U-511改(Lv.66),,伊8改(Lv.132),
2017/03/11 01:04:46,カレー洋制圧戦(4-2),8(道中),進撃,勝利A,敵補給船団,由良,伊168改,U-511改(Lv.66),,伊58改(Lv.72),
2017/03/11 01:03:32,カレー洋制圧戦(4-2),11(道中),進撃,勝利A,敵空母機動部隊,鳥海,无,U-511改(Lv.66),,伊8改(Lv.132),
2017/03/11 00:59:51,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,涼風,无,U-511改(Lv.66),,伊168改(Lv.54),
2017/03/11 00:56:44,カレー洋制圧戦(4-2),9(Boss点),進撃,勝利A,東方主力艦隊,山城,伊401改 & 伊19改,U-511改(Lv.66),,U-511改(Lv.66),
2017/03/11 00:55:46,カレー洋制圧戦(4-2),6(道中),進撃,戦術的勝利B,敵潜水教導艦隊,,无,U-511改(Lv.66),,伊19改(Lv.71),
2017/03/11 00:53:20,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,川内,无,U-511改(Lv.66),,伊19改(Lv.71),
2017/03/11 00:50:21,カレー洋制圧戦(4-2),13(Boss点),進撃,戦術的勝利B,東方主力艦隊,五十鈴,无,U-511改(Lv.65),,U-511改(Lv.65),
2017/03/11 00:49:04,カレー洋制圧戦(4-2),11(道中),進撃,勝利A,敵空母機動部隊,如月,无,U-511改(Lv.65),,伊19改(Lv.71),
2017/03/11 00:47:26,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,无,U-511改(Lv.65),,伊19改(Lv.71),
2017/03/11 00:18:10,カレー洋制圧戦(4-2),13(Boss点),進撃,勝利A,東方主力艦隊,扶桑,无,U-511改(Lv.65),,U-511改(Lv.65),
2017/03/11 00:16:36,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,U-511改(Lv.65),,伊58改(Lv.138),
2017/03/11 00:15:00,カレー洋制圧戦(4-2),2(道中),出撃,戦術的敗北C,敵前衛艦隊,,无,U-511改(Lv.65),,伊58改(Lv.138),
2017/03/11 00:12:52,カレー洋制圧戦(4-2),8(道中),進撃,戦術的敗北C,敵補給船団,,无,U-511改(Lv.65),,伊58改(Lv.138),
2017/03/11 00:11:46,カレー洋制圧戦(4-2),7(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,U-511改(Lv.65),,伊8改(Lv.64),
2017/03/11 00:10:37,カレー洋制圧戦(4-2),1(道中),出撃,敗北D,敵潜水教導艦隊,,无,U-511改(Lv.65),,U-511改(Lv.65),
2017/03/10 23:49:53,カレー洋制圧戦(4-2),8(道中),進撃,完全勝利!!!S,敵補給船団,妙高,无,U-511改(Lv.65),,伊58改(Lv.138),
2017/03/10 23:48:29,カレー洋制圧戦(4-2),11(道中),進撃,勝利A,敵空母機動部隊,,无,U-511改(Lv.65),,U-511改(Lv.65),
2017/03/10 23:46:20,カレー洋制圧戦(4-2),2(道中),出撃,完全勝利!!!S,敵前衛艦隊,,无,U-511改(Lv.65),,伊8改(Lv.63),
2017/03/10 23:42:37,カレー洋制圧戦(4-2),9(Boss点),進撃,完全勝利!!!S,東方主力艦隊,扶桑,无,U-511改(Lv.65),,伊58改(Lv.138),
2017/03/10 23:41:39,カレー洋制圧戦(4-2),6(道中),進撃,戦術的勝利B,敵潜水教導艦隊,,无,U-511改(Lv.65),,伊19改(Lv.54),
2017/03/10 23:40:18,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,川内,无,U-511改(Lv.64),,伊8改(Lv.63),
2017/03/10 23:23:35,カレー洋制圧戦(4-2),13(Boss点),進撃,勝利A,東方主力艦隊,高雄,伊8改,U-511改(Lv.64),,伊58改(Lv.138),
2017/03/10 23:21:51,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,U-511改(Lv.64),,伊58改(Lv.138),
2017/03/10 23:20:23,カレー洋制圧戦(4-2),1(道中),出撃,戦術的勝利B,敵潜水教導艦隊,,无,U-511改(Lv.64),,伊58改(Lv.138),
2017/03/10 23:05:13,カレー洋制圧戦(4-2),8(道中),進撃,勝利S,敵補給船団,,无,U-511改(Lv.64),,U-511改(Lv.64),
2017/03/10 23:04:11,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,U-511改(Lv.64),,伊58改(Lv.138),
2017/03/10 23:02:37,カレー洋制圧戦(4-2),1(道中),出撃,戦術的勝利B,敵潜水教導艦隊,,无,U-511改(Lv.64),,伊19改(Lv.138),
2017/03/10 23:00:18,カレー洋制圧戦(4-2),13(Boss点),進撃,勝利S,東方主力艦隊,夕張,无,呂500(Lv.154),,伊58改(Lv.138),
2017/03/10 22:58:59,カレー洋制圧戦(4-2),7(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 22:57:34,カレー洋制圧戦(4-2),1(道中),出撃,戦術的勝利B,敵潜水教導艦隊,,无,呂500(Lv.154),,伊8改(Lv.132),
2017/03/10 15:16:12,カレー洋制圧戦(4-2),9(Boss点),進撃,勝利A,東方主力艦隊,鳥海,U-511改 & 伊8改,U-511改(Lv.64),,伊58改(Lv.58),
2017/03/10 15:15:00,カレー洋制圧戦(4-2),6(道中),進撃,敗北D,敵潜水教導艦隊,,无,U-511改(Lv.64),,U-511改(Lv.64),
2017/03/10 15:12:52,カレー洋制圧戦(4-2),2(道中),出撃,戦術的勝利B,敵前衛艦隊,川内,无,U-511改(Lv.64),,伊58改(Lv.58),
2017/03/10 15:05:34,カレー洋制圧戦(4-2),8(道中),進撃,勝利A,敵補給船団,初雪,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 15:04:23,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,呂500(Lv.154),,伊19改(Lv.51),
2017/03/10 15:02:57,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,陽炎,无,呂500(Lv.154),,伊58改(Lv.57),
2017/03/10 14:59:49,カレー洋制圧戦(4-2),8(道中),進撃,完全勝利!!!S,敵補給船団,古鷹,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 14:58:34,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,呂500(Lv.154),,伊58改(Lv.57),
2017/03/10 14:57:19,カレー洋制圧戦(4-2),1(道中),出撃,戦術的勝利B,敵潜水教導艦隊,,无,呂500(Lv.154),,伊19改(Lv.54),
2017/03/10 14:53:37,カレー洋制圧戦(4-2),9(Boss点),進撃,敗北D,東方主力艦隊,,伊168改 & 伊58改,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 14:51:28,カレー洋制圧戦(4-2),6(道中),進撃,戦術的勝利B,敵潜水教導艦隊,如月,无,呂500(Lv.154),,伊58改(Lv.138),
2017/03/10 14:49:19,カレー洋制圧戦(4-2),2(道中),出撃,戦術的勝利B,敵前衛艦隊,,无,呂500(Lv.154),,伊58改(Lv.138),
2017/03/10 14:42:00,カレー洋制圧戦(4-2),8(道中),進撃,勝利S,敵補給船団,鳥海,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 14:38:58,カレー洋制圧戦(4-2),11(道中),進撃,勝利A,敵空母機動部隊,千代田,无,呂500(Lv.154),,伊401改(Lv.79),
2017/03/10 14:37:9,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,龍田,无,呂500(Lv.154),,伊168改(Lv.54),
2017/03/10 14:34:00,カレー洋制圧戦(4-2),8(道中),進撃,完全勝利!!!S,敵補給船団,,无,呂500(Lv.154),,伊401改(Lv.78),
2017/03/10 14:32:41,カレー洋制圧戦(4-2),11(道中),進撃,勝利A,敵空母機動部隊,,无,呂500(Lv.154),,伊168改(Lv.54),
2017/03/10 14:30:04,カレー洋制圧戦(4-2),1(道中),出撃,戦術的勝利B,敵潜水教導艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 14:22:55,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,伊168改,呂500(Lv.154),,伊58改(Lv.138),
2017/03/10 14:21:07,カレー洋制圧戦(4-2),2(道中),出撃,勝利S,敵前衛艦隊,多摩,无,呂500(Lv.154),,伊401改(Lv.78),
2017/03/10 14:15:57,カレー洋制圧戦(4-2),8(道中),進撃,勝利S,敵補給船団,龍驤,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 14:14:16,カレー洋制圧戦(4-2),12(道中),進撃,勝利A,敵空母機動部隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 14:12:36,カレー洋制圧戦(4-2),6(道中),進撃,敗北D,敵潜水教導艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 14:10:37,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,无,呂500(Lv.154),,伊58改(Lv.138),
2017/03/10 13:58:43,カレー洋制圧戦(4-2),13(Boss点),進撃,勝利A,東方主力艦隊,飛鷹,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:55:58,カレー洋制圧戦(4-2),11(道中),進撃,勝利A,敵空母機動部隊,,无,呂500(Lv.154),,伊58改(Lv.138),
2017/03/10 13:54:25,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:43:49,カレー洋制圧戦(4-2),7(道中),進撃,敗北D,敵空母機動部隊,,伊58改,呂500(Lv.154),,伊168改(Lv.59),
2017/03/10 13:42:50,カレー洋制圧戦(4-2),1(道中),出撃,敗北D,敵潜水教導艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:40:35,カレー洋制圧戦(4-2),13(Boss点),進撃,勝利A,東方主力艦隊,日向,无,呂500(Lv.154),,伊58改(Lv.71),
2017/03/10 13:39:17,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:37:54,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 13:35:21,カレー洋制圧戦(4-2),13(Boss点),進撃,勝利A,東方主力艦隊,祥鳳,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 13:34:04,カレー洋制圧戦(4-2),11(道中),進撃,勝利A,敵空母機動部隊,初雪,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 13:32:30,カレー洋制圧戦(4-2),2(道中),出撃,戦術的勝利B,敵前衛艦隊,,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 13:29:46,カレー洋制圧戦(4-2),8(道中),進撃,勝利S,敵補給船団,木曾,伊58改,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:28:20,カレー洋制圧戦(4-2),12(道中),進撃,戦術的勝利B,敵空母機動部隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:27:07,カレー洋制圧戦(4-2),6(道中),進撃,敗北D,敵潜水教導艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:25:30,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,由良,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 13:22:9,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,伊401改,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:20:06,カレー洋制圧戦(4-2),9(Boss点),進撃,勝利S,東方主力艦隊,北上,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:18:53,カレー洋制圧戦(4-2),6(道中),進撃,戦術的勝利B,敵潜水教導艦隊,如月,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 13:16:55,カレー洋制圧戦(4-2),2(道中),出撃,戦術的勝利B,敵前衛艦隊,,无,呂500(Lv.154),,伊19改(Lv.138),
2017/03/10 13:07:04,カレー洋制圧戦(4-2),11(道中),進撃,戦術的勝利B,敵空母機動部隊,,伊26改,呂500(Lv.154),,伊8改(Lv.132),
2017/03/10 13:05:15,カレー洋制圧戦(4-2),2(道中),出撃,勝利A,敵前衛艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:02:37,カレー洋制圧戦(4-2),8(道中),進撃,勝利S,敵補給船団,不知火,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 13:01:32,カレー洋制圧戦(4-2),7(道中),進撃,勝利A,敵空母機動部隊,,无,呂500(Lv.154),,伊401改(Lv.78),
2017/03/10 13:00:22,カレー洋制圧戦(4-2),1(道中),出撃,敗北D,敵潜水教導艦隊,,无,呂500(Lv.154),,呂500(Lv.154),
2017/03/10 12:52:43,アルフォンシーノ方面(3-3),13(Boss点),進撃,勝利S,深海棲艦泊地艦隊,霧島,无,榛名改二(Lv.144),,Aquila改(Lv.59),
2017/03/10 12:49:29,アルフォンシーノ方面(3-3),12(道中),進撃,勝利S,敵空母機動部隊,,无,榛名改二(Lv.144),,Aquila改(Lv.59),
2017/03/10 12:47:56,アルフォンシーノ方面(3-3),1(道中),出撃,完全勝利!!!S,敵前衛艦隊,天龍,无,榛名改二(Lv.144),,Aquila改(Lv.59),
2017/03/10 12:45:53,アルフォンシーノ方面(3-3),13(Boss点),進撃,勝利S,深海棲艦泊地艦隊,山城,Aquila改,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/10 12:44:31,アルフォンシーノ方面(3-3),7(道中),進撃,勝利S,敵空母機動部隊,,无,榛名改二(Lv.144),,Aquila改(Lv.59),
2017/03/10 12:42:55,アルフォンシーノ方面(3-3),3(道中),進撃,完全勝利!!!S,敵護衛空母群,敷波,无,榛名改二(Lv.144),,Aquila改(Lv.58),
2017/03/10 12:41:9,アルフォンシーノ方面(3-3),1(道中),出撃,完全勝利!!!S,敵前衛艦隊,,无,榛名改二(Lv.144),,足柄改二(Lv.93),
2017/03/10 12:38:07,アルフォンシーノ方面(3-3),13(Boss点),進撃,勝利S,深海棲艦泊地艦隊,利根,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/10 12:36:37,アルフォンシーノ方面(3-3),12(道中),進撃,勝利S,敵空母機動部隊,鳥海,无,榛名改二(Lv.144),,Aquila改(Lv.58),
2017/03/10 12:35:18,アルフォンシーノ方面(3-3),1(道中),出撃,完全勝利!!!S,敵前衛艦隊,,无,榛名改二(Lv.144),,Aquila改(Lv.58),
2017/03/10 12:31:43,サブ島沖海域(5-3),11(Boss点),進撃,勝利A,敵サーモン方面主力艦隊,霧島,无,Zara due(Lv.88),,Roma改(Lv.118),
2017/03/10 12:30:24,サブ島沖海域(5-3),12(道中),進撃,勝利A,敵泊地護衛主力艦隊,,无,Zara due(Lv.88),,Italia(Lv.114),
2017/03/10 12:29:13,サブ島沖海域(5-3),3(道中),出撃,勝利A,敵前衛警戒艦隊,由良,无,Zara due(Lv.88),,利根改二(Lv.95),
2017/03/10 00:24:04,アルフォンシーノ方面(3-3),12(道中),進撃,勝利S,敵空母機動部隊,球磨,Aquila改,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/10 00:22:36,アルフォンシーノ方面(3-3),1(道中),出撃,勝利S,敵前衛艦隊,霰,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/10 00:20:21,アルフォンシーノ方面(3-3),11(Boss点),進撃,勝利S,深海棲艦泊地艦隊,日向,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/10 00:18:43,アルフォンシーノ方面(3-3),3(道中),進撃,勝利S,敵護衛空母群,高雄,无,榛名改二(Lv.144),,Aquila改(Lv.58),
2017/03/10 00:17:23,アルフォンシーノ方面(3-3),1(道中),出撃,完全勝利!!!S,敵前衛艦隊,龍田,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/9 23:57:11,アルフォンシーノ方面(3-3),11(Boss点),進撃,勝利S,深海棲艦泊地艦隊,最上,无,榛名改二(Lv.144),,Aquila改(Lv.58),
2017/03/9 23:54:50,アルフォンシーノ方面(3-3),3(道中),進撃,勝利S,敵護衛空母群,,无,榛名改二(Lv.144),,羽黒改二(Lv.98),
2017/03/9 23:52:53,アルフォンシーノ方面(3-3),1(道中),出撃,完全勝利!!!S,敵前衛艦隊,羽黒,无,榛名改二(Lv.144),,Aquila改(Lv.57),
2017/03/9 23:44:36,アルフォンシーノ方面(3-3),12(道中),進撃,勝利S,敵空母機動部隊,由良,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/9 23:42:54,アルフォンシーノ方面(3-3),1(道中),出撃,勝利S,敵前衛艦隊,千歳,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/9 23:40:40,アルフォンシーノ方面(3-3),7(道中),進撃,勝利S,敵空母機動部隊,足柄,无,榛名改二(Lv.144),,羽黒改二(Lv.98),
2017/03/9 23:37:53,アルフォンシーノ方面(3-3),3(道中),進撃,完全勝利!!!S,敵護衛空母群,筑摩,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/9 23:35:11,アルフォンシーノ方面(3-3),1(道中),出撃,勝利S,敵前衛艦隊,鳥海,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/9 23:32:51,アルフォンシーノ方面(3-3),12(道中),進撃,勝利S,敵空母機動部隊,,无,榛名改二(Lv.144),,榛名改二(Lv.144),
2017/03/9 23:30:49,アルフォンシーノ方面(3-3),1(道中),出撃,完全勝利!!!S,敵前衛艦隊,扶桑,无,榛名改二(Lv.144),,Graf Zeppelin改(Lv.82),
2017/03/9 21:48:53,サーモン海域北方(5-5),2(道中),出撃,敗北D,敵前衛警戒部隊,,Zara改,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:46:13,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,初雪,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:43:11,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,摩耶,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:38:52,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,黒潮,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:35:38,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,木曾,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:32:30,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,千歳,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:29:13,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,黒潮,无,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:25:01,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,羽黒,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:21:50,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,那珂,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:15:57,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,大潮,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:12:59,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,祥鳳,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:10:15,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:04:39,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,五十鈴,まるゆ,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 21:01:43,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,利根,まるゆ,Zara改(Lv.87),,龍鳳改(Lv.65),
2017/03/9 20:57:29,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,妙高,无,Zara改(Lv.87),,Zara改(Lv.87),
2017/03/9 20:53:43,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,由良,まるゆ,Zara改(Lv.87),,龍鳳改(Lv.64),
2017/03/9 20:51:38,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,祥鳳,无,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:47:33,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:44:24,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,黒潮,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:41:41,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,那珂,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:38:59,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,那珂,无,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:37:9,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,陽炎,无,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:34:59,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:31:28,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:27:27,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,黒潮,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:24:59,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,陽炎,无,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:21:25,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:17:12,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,高雄,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:14:30,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,那智,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
2017/03/9 20:11:00,キス島沖(3-2),2(道中),出撃,勝利S,敵水雷戦隊,足柄,まるゆ,Zara改(Lv.86),,Zara改(Lv.86),
